original,updated/copied,status,notes,grammar_issue_flag
And so  now we don't want them to answer some questions.,And so now we don't want them to answer some questions.,done,,
,,,,
"I believe that supporting this legislation is a proper gesture that  we can make here in this House, and I am glad to support it.",I believe that supporting this legislation is a proper gesture that we can make here in this House and I am glad to support it.,done,,
,,,,
She  broke barriers as an African American and as a woman news anchor for  WSB Television starting in 1975.,She broke barriers as an African-American and as a woman news anchor for WSB Television starting in 1975.,done,,
,,,,
I believe as  soon as we realize Latinos yearn to share the same American principles and  aspirations as so many descendants of other immigrant groups--of  Italian Americans and Irish Americans and German Americans and Asian  Americans and all Americans--certainly America will thrive.,I believe as soon as we realize Latinos yearn to share the same American principles and aspirations as so many descendants of other immigrant groups--of Italian Americans and Irish Americans and German Americans and Asian Americans and all Americans--certainly America will thrive.,done,,
,,,,
Almost three-quarter billion people still lack access to this  fundamental necessity of life.,Almost three-quarter billion people still lack access to this fundamental necessity of life.,review,Almost three-quarters of a billion people still lack access to this fundamental necissity of life.,1
,,,,
"Enshrining the unprecedented control over schools assumed by the  Obama administration, rather than supporting the innovation occurring  at the State and local level, is not the respond.","Enshrining the unprecedented control over schools assumed by the Obama administration, rather than supporting the innovation occurring at the state and local level, is not the respond.",review,respond to response,1
,,,,
"I believe that supporting this legislation is a proper gesture that  we can make here in this House, and I am happy to support it.",I believe that supporting this legislation is a proper gesture that we can make here in this House and I am happy to support it.,done,,
,,,,
"Whether it is a mother-and- pop brick manufacturing company, an international steel manufacturing  company, or a coal-fired power plant, they are all dealing with new and  very costly new EPA rules.","Whether it is a mother-and-pop brick manufacturing company, an international steel manufacturing company, or a coal-fired power plant, they are all dealing with new and very costly new EPA rules.",done,mom and pop?,
,,,,
Let's not forget  that in this conversation.,Let's not forget that in this conversation.,done,,
,,,,
Surely Congress will answer.,Surely Congress will answer.,done,,
,,,,
"And in the  midst of it, he announced, ``I mean Osama bin Laden.''","And in the midst of it, he announced, “I mean Osama Bin Laden.''",done,,
,,,,
I thought it was  outrageous then and the intervening years since then have done nothing  to change my opinion.,"I thought it was outrageous then, and the intervening years since then have done nothing to change my opinion.",done,,
,,,,
Or is it intending to preserve a market share for two gaming entities  that have enjoyed that market share by themselves?,"Or, is it intending to preserve a market share for two gaming entities that have enjoyed that market share by themselves?",done,,
,,,,
We are talking about permanent changes to the Tax Code  with no pay-fors.,We are talking about permanent changes to the tax code with no pay-fors.,done,,
,,,,
"When these mothers start delivering those babies  and when we have all types of problems, it is not going to be a  pleasant experience; so we need to do everything we can.","When these mothers start delivering those babies, and when we have all types of problems, it is not going to be a pleasant experience, so we need to do everything we can.",done,,
,,,,
"Secondly, it creates the potential preconditions for when there  is a security settlement in the Middle East that will allow these  ancient faith traditions to reintegrate back into their homeland and  continue to give to the once-rich tapestry that made up the  Middle East.","Secondly, it creates the potential preconditions for when there is a security settlement in the Middle East that will allow these ancient faith traditions to reintegrate back into their homeland and continue to give to the once-rich tapestry that made up the Middle East.",done,,
,,,,
" last week, the largest caucus here in the  House of Representatives, the Congressional Sportsmen's Caucus, which  is made up of Republicans and Democrats, had its normal yearly shoot,  which consists of trap, skeet, and sporting clays, and I'm happy to say  that this year the Republicans retained the trophy.","Last week, the largest caucus here in the House of Representatives, the Congressional Sportsmen's Caucus, which is made up of Republicans and Democrats, had its normal yearly shoot, which consists of trap, skeet, and sporting clays, and I'm happy to say that this year the Republicans retained the trophy.",done,,
,,,,
Every President in modern history has taken voluntary steps to ensure  his monetary interests do not conflict with the needsof the American  people.,Every President in modern history has taken voluntary steps to ensure his monetary interests do not conflict with the needs of the American people.,done,,
,,,,
"As you can see, Mr. Speaker, under current law, if we don't make  necessary reforms, we are going to be spending more on interest alone  on the national debt than we are on all defense issues combined.","As you can see, Mr. Speaker, under current law, if we don't make necessary reforms, we are going to be spending more on interest alone on the national debt than we are on all defense issues combined.",done,,
,,,,
"Those refinery workers, they are going to lose their jobs because we  are going to allow the oil to be exported so that it can be refined in  a foreign nation by workers who are not paid commensurate to what we  are paid over here, and then we are going to import our own oil back  into our country at a higher price.","Those refinery workers, they are going to lose their jobs because we are going to allow the oil to be exported, so that it can be refined in a foreign nation by workers who are not paid commensurate to what we are paid over here, and then we are going to import our own oil back into our country at a higher price.",done,,
,,,,
"Tonight, in light of the horrific terrorist attack in Paris and the  escalating violence in Israel, as we stand to express our solidarity  with our friends and allies affected by violent and extreme acts of  terror, we must also be thinking about what we as Americans can do to  defeat--not contain--but eliminate radical jihadists and terrorists who  are hell-bent on undermining the U.S., our allies, and our way of life.","Tonight, in light of the horrific terrorist attack in Paris and the escalating violence in Israel, as we stand to express our solidarity with our friends and allies affected by violent and extreme acts of terror, we must also be thinking about what we, as Americans, can do to defeat--not contain, but eliminate radical jihadists and terrorists who are hell-bent on undermining the U.S., our allies, and our way of life.",done,,
,,,,
The reason we need this bill is to help make some of those  bipartisan changes to the infrastructure program that just don't make  sense.,The reason we need this bill is to help make some of those bipartisan changes to the infrastructure program that just don't make sense.,done,,
,,,,
"Rather, we all suffer under a system in which innocent Americans  everywhere live under the constant fear of a potentially bankrupting  frivolous lawsuit.","Rather, we all suffer under a system in which innocent Americans everywhere live under the constant fear of a potentially bankrupting frivolous lawsuit.",done,,
,,,,
" And to answer, and I will riff a little, the cost is  minimal in terms of the medical costs."," And to answer, and I will riff a little, the cost is minimal in terms of the medical costs.",done,,
,,,,
"At the finish of the day, if we take away this DACA status from these  young Americans, we are going to have a potentially close to $500  billion adverse economic impact.","At the finish of the day, if we take away this DACA status from these young Americans, we are going to have a potentially close to $500 billion adverse economic impact.",done,,
,,,,
