,sentence,rating
138,"Well, we talked with the Prime Minister in Libya, we talked with leaders of the Justice Department and the foreign minister as well.",1
258,"Now, at the beginning, Republicans were saying that this would be the biggest job killer there was, that the economy would suffer, that businesses would be cutting employees.",1
4,Almost three-quarter billion people still lack access to this fundamental necessity of life.,4
849,"I want to acknowledge the efforts of Chairman Issa and his staff at the Oversight and Government Reform Committee, including his eloquent comments today.",3
402,"We, in Congress, need to work hard to make sure that Pell Grants increase and that Pell Grants go to students at not-for-profit schools and those for-profit schools that graduate students and get them gainful employment.",4
746,It is excessive and painful to think that men and women who are willing to die for this country are not being treated with the utmost dignity and respect.,1
844,There were large holes in the roof and floors; bedroom barriers were buckling; broken windows covered with tarps.,1
532,"The Federal Reserve's financial policy impacts the prices every American pays at the grocery store; the ability of businesses to obtain the capital necessary to create new jobs; and the value of investments the average American relies on to provide for their families, educate their children, and enjoy a secure retirement.",1
315,Or is it intending to maintain a market share for two gaming entities that have enjoyed that market share by themselves?,2
354,"In order to stand strong against jihadist fear and cartel organized crime, we must have an adequate number of boots on the ground.",3
113,"Mr. Speaker, we are in a place in history here where I am happy to see that the Trump administration understands what needs to happen in Cuba.",2
318,"Many survivors are unable to preserve even a modest and dignified standard of living: they lack funds for home care, they don't have the money for medicine, they don't have the funds for food, they can't pay the utilities, and they can't pay their rent.",1
911,I appreciate the emotionally charged conversation that we are having here on the House floor today.,2
958,"This is the only planet for human beings that we know of and we, therefore, have a responsibility.",1
108,"We should be more faithful so that when a country like Nigeria begs help to deal with radical Islam and Boko Haram, we should not have to hear from a Catholic bishop in Nigeria that the Obama administration is demanding that they change their laws to embrace same-sex marriage against their religious beliefs, appropriate for abortion even when it violates their religious beliefs, chide the leader of Kenya or other countries to contribute up their religious beliefs, and follow the amoral teaching of whoever happens to be in charge in America.",4
38,"As the world's fastest growing and third largest criminal enterprise, it is shocking how little people know about this horrendous practice.",1
1033,"It consolidates these eight reports into a single, complete report on the state of the communications marketplace, and eliminates twelve other reports from the Communications Act.",3
159,"They ought to be able to sell their product, particularly when, in certain types of crude, there is just simply not sufficient capacity.",4
649,"It is about time we, the Congress of the United  States, on a bipartisan basis, come up with an actionable plan to fight and defeat ISIS, one that is consistent with our values and at the same time one that does not inadvertently commit us to 5 and 10 years down the road responsibilities that we do not envision today.",1
592,"I know firsthand the importance of an organization like the Department of Veterans Affairs, tasked with providing complete medical care for so many veterans and for having sufficient staff on hand to do that, and too many VA facilities around the country don't have sufficient staff.",4
505,"I fear that as the government continues to grow and Obamacare is fully implemented, the consequences of transferring so much power, national treasure, and control to the Federal Government will be felt widely, personally, and painfully.",1
549,What has caused this sudden outbreak of fear?,1
898,"Importantly, what this bill does is use targeted monetary and economic pressure to isolate Kim Jong-un and his top officials from the assets that they maintain in foreign banks and from the hard currency that sustains their rule.",1
301,"As for the solar fuel process, also known as artificial photosynthesis, new materials and catalysts will be needed to be developed through basic research before the private sector will ever be able to develop a commercial solar fuels system.",4
384,"What we have found is that, notwithstanding the fact that it is lawful in State A and is lawful in State C and is protected by Federal law while being transported, some state and local governments have decided that they are not going to follow the federal law, and they finish up arresting the otherwise law-abiding traveler.",3
209,The EPA's WOTUS rule is outrageous and burdensome because they disregarded the role of the states in crafting waterway regulations.,1
973,Americans are alarmed and frightened about the increased fear attacks here at home and in peace-loving nations around the world.,4
814,It is disturbing that we happen to be debating whether a state sponsor of terror should have a glide path to nuclear weapons at this time.,2
